Dataset,dataSource,Type,Continent,Continent.plot.summary,numSig,numAgg,numSeg,percAgg,percSeg,numSpp,numSites,Age,land.island
Turkana-KBS,Behrensmeyer,M,AF,Africa,1,0,1,0,1,64,37,1715000,ETE
Turkana-Burgi,Behrensmeyer,M,AF,Africa,7,0,7,0,1,56,23,2250000,ETE
Turkana-TuluBor,Behrensmeyer,M,AF,Africa,2,0,2,0,1,40,12,3035000,ETE
Siwalik-7Ma,Behrensmeyer,M,EA,Eurasia,5,4,1,0.8,0.2,95,111,7600000,ETE
Siwalik-11-10Ma,Behrensmeyer,M,EA,Eurasia,28,4,24,0.142857143,0.857142857,147,92,11000000,ETE
Siwalik-13-12Ma,Behrensmeyer,M,EA,Eurasia,9,6,3,0.666666667,0.333333333,130,168,13100000,ETE
Siwalik-15-14Ma,Behrensmeyer,M,EA,Eurasia,11,7,4,0.636363636,0.363636364,95,38,14500000,ETE
Siwalik-17-16Ma,Behrensmeyer,M,EA,Eurasia,1,0,1,0,1,67,20,17100000,ETE
Eurasia-spp-MN17,Eronen,M,EA,Eurasia,11,9,2,0.818181818,0.181818182,86,32,2750000,ETE
Eurasia-spp-MN16,Eronen,M,EA,Eurasia,31,25,6,0.806451613,0.193548387,177,53,3000000,ETE
Eurasia-spp-MN15,Eronen,M,EA,Eurasia,2,2,0,1,0,110,27,3800000,ETE
Eurasia-spp-MN11,Eronen,M,EA,Eurasia,3,2,1,0.666666667,0.333333333,171,44,8450000,ETE
Eurasia-spp-MN10,Eronen,M,EA,Eurasia,1,1,0,1,0,131,42,9250000,ETE
Eurasia-spp-MN07,Eronen,M,EA,Eurasia,34,30,4,0.882352941,0.117647059,142,65,11850000,ETE
Eurasia-spp-MN06,Eronen,M,EA,Eurasia,10,10,0,1,0,139,87,13850000,ETE
Eurasia-spp-MN05,Eronen,M,EA,Eurasia,77,51,26,0.662337662,0.337662338,169,96,16100000,ETE
Eurasia-spp-MN04,Eronen,M,EA,Eurasia,7,7,0,1,0,127,65,17500000,ETE
Eurasia-spp-MN03,Eronen,M,EA,Eurasia,48,39,9,0.8125,0.1875,99,57,19000000,ETE
Eurasia-spp-MN02,Eronen,M,EA,Eurasia,1,0,1,0,1,83,35,21400000,ETE
SouthAfrica-LgMammals-MIS1,Faith,M,AF,Africa,37,25,12,0.675675676,0.324324324,48,103,12000,ETE
SouthAfrica-LgMammals-MIS2,Faith,M,AF,Africa,40,19,21,0.475,0.525,44,28,24000,ETE
NorthAm-mammals-Modern,Lyons,M,NA,North America,1318,541,777,0.41047041,0.58952959,146,67,30,ETE
NorthAm-mammals-Holocene,Lyons,M,NA,North America,871,404,467,0.463834673,0.536165327,147,214,5000,ETE
NorthAm-mammals-Pleistocene,Lyons,M,NA,North America,1134,667,467,0.588183422,0.411816578,167,88,25000,ETE
crypticTaxa _ Desert Rodents,Riddle,M,NA,North America,59,39,20,0.661016949,0.338983051,62,171,7.5,ETE
African-SPP-MOD,TÑth,M,AF,Africa,136,52,84,0.382352941,0.617647059,179,14,30,ETE
African-SPP-HIST,TÑth,M,AF,Africa,121,36,85,0.297520661,0.702479339,178,14,90,ETE
WI-overstory-SPP-1950,Waller,Pl,NA,North America,49,26,23,0.530612245,0.469387755,34,168,60,ETE
WI-understory-SPP-1950,Waller,Pl,NA,North America,1302,596,706,0.457757296,0.542242704,168,152,60,ETE
WI-overstory-SPP-2000,Waller,Pl,NA,North America,53,33,20,0.622641509,0.377358491,39,168,10,ETE
WI-understory-SPP-2000,Waller,Pl,NA,North America,911,400,511,0.439077936,0.560922064,164,152,10,ETE
Abo,DiMichele,Pl,NA,North America,12,9,3,0.75,0.25,44,207,290000000,ETE
